,GameID,Date,Year,Home,Away,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Home_PTS,Away_FG,Away_FGA,Away_FG%,Away_3P,Away_3PA,Away_3P%,Away_FT,Away_FTA,Away_FT%,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Away_PTS,W_L,PT_Diff
24,SACCLE1997-07-06,1997-07-06,1997,SAC,CLE,25,59,0.423728813559322,4,15,0.26666666666666666,16,20,0.8,12.0,14.0,26,13.0,11,1.0,17.0,17.0,70,28,53,0.5283018867924528,2,5,0.4,9,13,0.6923076923076923,8.0,23.0,31,17.0,7,3.0,21.0,17.0,67,W,3
25,HOUCHA1997-07-07,1997-07-07,1997,HOU,CHA,28,63,0.4444444444444444,7,17,0.4117647058823529,11,16,0.6875,11.0,25.0,36,16.0,13,4.0,19.0,19.0,74,21,57,0.3684210526315789,2,12,0.16666666666666666,12,20,0.6,8.0,19.0,27,9.0,11,6.0,18.0,18.0,56,W,18
26,LASCLE1997-07-07,1997-07-07,1997,LAS,CLE,29,73,0.3972602739726027,4,13,0.3076923076923077,8,12,0.6666666666666666,11.0,18.0,29,25.0,9,3.0,12.0,22.0,70,30,55,0.5454545454545454,3,4,0.75,18,24,0.75,8.0,25.0,33,20.0,6,4.0,16.0,14.0,81,L,-11
27,PHONYL1997-07-07,1997-07-07,1997,PHO,NYL,21,67,0.31343283582089554,3,9,0.3333333333333333,24,33,0.7272727272727273,14.0,33.0,47,20.0,14,4.0,22.0,16.0,69,19,64,0.296875,0,17,0.0,12,21,0.5714285714285714,9.0,25.0,34,13.0,18,3.0,21.0,26.0,50,W,19
28,UTASAC1997-07-07,1997-07-07,1997,UTA,SAC,28,75,0.37333333333333335,2,15,0.13333333333333333,11,11,1.0,17.0,12.0,29,19.0,6,8.0,12.0,20.0,69,32,67,0.47761194029850745,5,15,0.3333333333333333,10,14,0.7142857142857143,16.0,22.0,38,22.0,9,4.0,17.0,15.0,79,L,-10
29,CHANYL1997-07-09,1997-07-09,1997,CHA,NYL,30,68,0.4411764705882353,5,12,0.4166666666666667,22,34,0.6470588235294118,16.0,25.0,41,19.0,11,6.0,11.0,19.0,87,24,61,0.39344262295081966,6,17,0.35294117647058826,15,24,0.625,12.0,22.0,34,17.0,4,5.0,21.0,23.0,69,W,18
30,PHOHOU1997-07-09,1997-07-09,1997,PHO,HOU,22,57,0.38596491228070173,2,13,0.15384615384615385,23,29,0.7931034482758621,15.0,20.0,35,18.0,11,4.0,18.0,22.0,69,20,56,0.35714285714285715,5,17,0.29411764705882354,19,23,0.8260869565217391,12.0,15.0,27,9.0,12,1.0,22.0,24.0,64,W,5
31,CLESAC1997-07-10,1997-07-10,1997,CLE,SAC,28,63,0.4444444444444444,3,8,0.375,18,21,0.8571428571428571,15.0,22.0,37,15.0,10,0.0,19.0,16.0,77,22,65,0.3384615384615385,6,19,0.3157894736842105,11,15,0.7333333333333333,18.0,11.0,29,13.0,10,1.0,22.0,23.0,61,W,16
32,NYLCHA1997-07-10,1997-07-10,1997,NYL,CHA,23,63,0.36507936507936506,2,7,0.2857142857142857,14,20,0.7,9.0,26.0,35,16.0,16,2.0,17.0,18.0,62,18,56,0.32142857142857145,2,11,0.18181818181818182,10,14,0.7142857142857143,8.0,23.0,31,8.0,9,4.0,24.0,19.0,48,W,14
33,LASUTA1997-07-11,1997-07-11,1997,LAS,UTA,28,57,0.49122807017543857,0,4,0.0,19,30,0.6333333333333333,10.0,27.0,37,17.0,13,8.0,23.0,20.0,75,25,66,0.3787878787878788,4,13,0.3076923076923077,14,25,0.56,13.0,17.0,30,10.0,17,4.0,21.0,25.0,68,W,7
34,CHACLE1997-07-12,1997-07-12,1997,CHA,CLE,29,59,0.4915254237288136,3,10,0.3,11,19,0.5789473684210527,14.0,33.0,47,21.0,6,4.0,18.0,17.0,72,17,63,0.2698412698412698,0,8,0.0,9,19,0.47368421052631576,14.0,16.0,30,10.0,6,3.0,16.0,16.0,43,W,29
35,HOUSAC1997-07-12,1997-07-12,1997,HOU,SAC,35,65,0.5384615384615384,9,21,0.42857142857142855,10,17,0.5882352941176471,7.0,20.0,27,23.0,12,2.0,15.0,12.0,89,24,62,0.3870967741935484,5,15,0.3333333333333333,8,10,0.8,12.0,19.0,31,13.0,6,2.0,22.0,14.0,61,W,28
36,UTAPHO1997-07-12,1997-07-12,1997,UTA,PHO,20,51,0.39215686274509803,3,9,0.3333333333333333,9,14,0.6428571428571429,5.0,29.0,34,17.0,6,6.0,19.0,14.0,52,19,60,0.31666666666666665,5,17,0.29411764705882354,8,9,0.8888888888888888,8.0,23.0,31,10.0,10,3.0,15.0,16.0,51,W,1
37,LASPHO1997-07-13,1997-07-13,1997,LAS,PHO,22,58,0.3793103448275862,3,7,0.42857142857142855,9,13,0.6923076923076923,10.0,24.0,34,14.0,3,9.0,17.0,18.0,56,23,68,0.3382352941176471,5,21,0.23809523809523808,6,9,0.6666666666666666,12.0,16.0,28,10.0,9,2.0,12.0,15.0,57,L,-1
38,CLENYL1997-07-14,1997-07-14,1997,CLE,NYL,20,52,0.38461538461538464,0,3,0.0,17,26,0.6538461538461539,6.0,19.0,25,15.0,6,1.0,19.0,26.0,57,22,55,0.4,1,6,0.16666666666666666,23,34,0.6764705882352942,10.0,25.0,35,18.0,15,6.0,20.0,23.0,68,L,-11
39,HOUUTA1997-07-14,1997-07-14,1997,HOU,UTA,30,67,0.44776119402985076,2,10,0.2,17,25,0.68,11.0,26.0,37,16.0,16,3.0,12.0,15.0,79,22,70,0.3142857142857143,2,9,0.2222222222222222,10,12,0.8333333333333334,19.0,22.0,41,12.0,5,4.0,22.0,20.0,56,W,23
40,NYLCLE1997-07-15,1997-07-15,1997,NYL,CLE,28,62,0.45161290322580644,3,7,0.42857142857142855,17,21,0.8095238095238095,8.0,31.0,39,22.0,11,3.0,22.0,17.0,76,23,60,0.38333333333333336,1,5,0.2,12,16,0.75,5.0,20.0,25,15.0,12,4.0,18.0,16.0,59,W,17
41,SACLAS1997-07-15,1997-07-15,1997,SAC,LAS,27,57,0.47368421052631576,2,12,0.16666666666666666,22,28,0.7857142857142857,16.0,18.0,34,18.0,7,4.0,19.0,24.0,78,25,59,0.423728813559322,3,13,0.23076923076923078,20,31,0.6451612903225806,8.0,13.0,21,23.0,10,4.0,15.0,21.0,73,W,5
